i,ts,lead_h,obs_lat,obs_lon,obs_kt,obs_cat,pred_lat,pred_lon,pred_kt,pred_kt_q10,pred_kt_q90,true_lat,true_lon,true_kt,err_km,pers_err_km,kt_err,pers_kt_err,in_cone
14,2019-04-29 06:00:00+00:00,6,9.3,87.2,45.0,CS,9.949114546157698,87.00062858519016,45.0,41.70369456353182,51.5361150184189,10.2,87.1,55.0,29.811233619074493,24.711391004751146,-10.0,-10.0,True
14,2019-04-29 06:00:00+00:00,12,9.3,87.2,45.0,CS,10.554800266568677,86.81938226525085,48.15927018606546,43.34761681627593,55.619868976151814,10.9,86.8,55.0,38.242311404926475,22.14708645728527,-6.840729813934537,-10.0,True
14,2019-04-29 06:00:00+00:00,18,9.3,87.2,45.0,CS,11.138877277162598,86.78853563960688,49.15913794792513,44.912493830411535,58.50032782375078,11.8,86.5,70.0,79.62065975300727,45.53245370432824,-20.84086205207487,-25.0,True
14,2019-04-29 06:00:00+00:00,24,9.3,87.2,45.0,CS,11.354737677979514,86.6935997912756,55.21312708108432,37.694871458410994,56.52918108917652,12.7,85.8,80.0,177.80376313672747,92.61974241147387,-24.786872918915677,-35.0,False
15,2019-04-29 12:00:00+00:00,6,10.2,87.1,55.0,SCS,10.993218807701757,87.02278152305679,55.0,54.98577328929899,65.47018124429121,10.9,86.8,55.0,26.444750834073602,31.072865009953638,0.0,0.0,True
15,2019-04-29 12:00:00+00:00,12,10.2,87.1,55.0,SCS,11.644900176576979,86.99584907299676,60.9943228536216,55.67669770337544,70.68608537606441,11.8,86.5,70.0,56.71145196289504,48.745311230215144,-9.005677146378403,-15.0,True
15,2019-04-29 12:00:00+00:00,18,10.2,87.1,55.0,SCS,12.564476034543727,86.8357425786015,62.932493670131365,56.90577768495537,73.80954896626825,12.7,85.8,80.0,113.51972466705568,110.49687149696501,-17.067506329868635,-25.0,False
15,2019-04-29 12:00:00+00:00,24,10.2,87.1,55.0,SCS,13.037444786933428,86.87338012184243,70.62960994640781,53.98258770837648,79.65127103281921,13.3,84.8,90.0,226.64540028890653,212.41219373622621,-19.37039005359219,-35.0,False
16,2019-04-29 18:00:00+00:00,6,10.9,86.8,55.0,SCS,11.564205090236333,86.51352465451107,55.0,54.94926864047178,65.9263415436697,11.8,86.5,70.0,26.125236849167106,22.128730718819767,-15.0,-15.0,True
16,2019-04-29 18:00:00+00:00,12,10.9,86.8,55.0,SCS,12.10489005847447,86.46352461840291,58.58769230954143,55.10991064900072,70.95265651751888,12.7,85.8,80.0,97.67199363065274,61.84626317829117,-21.41230769045857,-25.0,False
16,2019-04-29 18:00:00+00:00,18,10.9,86.8,55.0,SCS,12.766687121562539,86.2009529704977,62.556045214950565,56.615395880248585,74.21540631580375,13.3,84.8,90.0,163.01291816332792,123.12066504721803,-27.443954785049435,-35.0,False
16,2019-04-29 18:00:00+00:00,24,10.9,86.8,55.0,SCS,13.237098753011715,86.35888812607027,64.63624309222183,54.14150859785028,81.46932668497891,13.5,84.4,95.0,214.17494629232505,130.37621869547357,-30.363756907778168,-40.0,False
17,2019-04-30 00:00:00+00:00,6,11.8,86.5,70.0,VSCS,12.622521852817398,86.21797083783788,70.0,69.98921066042305,83.70103509350484,12.7,85.8,80.0,46.206103142035154,43.334834438963135,-10.0,-10.0,False
17,2019-04-30 00:00:00+00:00,12,11.8,86.5,70.0,VSCS,13.431153022984256,86.17343541098569,72.7920443792622,70.54475151608167,88.81586264219719,13.3,84.8,90.0,149.48137214418318,123.20195154874358,-17.207955620737806,-20.0,False
17,2019-04-30 00:00:00+00:00,18,11.8,86.5,70.0,VSCS,14.351328198548888,86.1188270046709,76.86701811532356,68.32762462813047,90.04420042452494,13.5,84.4,95.0,208.26510619033712,169.5404386129213,-18.13298188467644,-25.0,False
17,2019-04-30 00:00:00+00:00,24,11.8,86.5,70.0,VSCS,14.92005053989489,86.46579996933644,87.55467824517923,67.41698858892768,102.10499441082274,13.9,84.1,95.0,278.97126854655664,208.96551504907853,-7.4453217548207675,-25.0,False
18,2019-04-30 06:00:00+00:00,6,12.7,85.8,80.0,VSCS,13.52230481013212,85.26465028493259,80.0,79.7133767112882,97.30824677598252,13.3,84.8,90.0,56.01168353975065,46.23919103963439,-10.0,-10.0,False
18,2019-04-30 06:00:00+00:00,12,12.7,85.8,80.0,VSCS,14.196616893538202,85.01689770427298,86.62433168752173,78.58083760955094,99.28326812046733,13.5,84.4,95.0,101.91928945791955,110.3885372405828,-8.375668312478268,-15.0,False
18,2019-04-30 06:00:00+00:00,18,12.7,85.8,80.0,VSCS,15.052003093469063,84.66034996487319,90.41917864839235,73.09503905352064,101.72688598437135,13.9,84.1,95.0,141.0523983066779,171.42124332399217,-4.5808213516076535,-15.0,False
18,2019-04-30 06:00:00+00:00,24,12.7,85.8,80.0,VSCS,15.694990678305448,84.4774733009904,98.77845344496201,62.40562967909088,107.97519063030417,14.2,84.0,95.0,173.20890760867437,256.6565968826971,3.778453444962011,-15.0,False
19,2019-04-30 12:00:00+00:00,6,13.3,84.8,90.0,ESCS,13.862598085499137,83.97679492913781,90.0,88.7362409477001,106.93892997609068,13.5,84.4,95.0,60.871975940357125,78.77318523139054,-5.0,-5.0,False
19,2019-04-30 12:00:00+00:00,12,13.3,84.8,90.0,ESCS,14.267991069716778,83.4958113942447,95.43412920131819,84.26794206717761,111.52233362153616,13.9,84.1,95.0,76.90971460035078,156.02213848959545,0.43412920131818566,-5.0,False
19,2019-04-30 12:00:00+00:00,18,13.3,84.8,90.0,ESCS,14.83812273353962,83.09316613571806,98.04365713491192,78.17509882345232,110.66746416444249,14.2,84.0,95.0,120.5775752828822,258.82535721827765,3.043657134911925,-5.0,False
19,2019-04-30 12:00:00+00:00,24,13.3,84.8,90.0,ESCS,15.105604216180687,82.32124371340502,103.64356986657738,68.60003802641654,121.63245603507708,14.9,84.1,100.0,192.65093963410325,369.0011700027196,3.64356986657738,-10.0,False
20,2019-04-30 18:00:00+00:00,6,13.5,84.4,95.0,ESCS,13.794585048512575,84.01828564628892,95.0,94.90195350710552,107.0725925152238,13.9,84.1,95.0,14.630710332507668,24.644797608295328,0.0,0.0,True
20,2019-04-30 18:00:00+00:00,12,13.5,84.4,95.0,ESCS,14.223780202264658,83.70327553863707,98.96046024681603,89.51426865554997,115.15189355154789,14.2,84.0,95.0,32.134628688699564,54.642707968763595,3.9604602468160266,0.0,True
20,2019-04-30 18:00:00+00:00,18,13.5,84.4,95.0,ESCS,14.446172931557467,83.4382969889218,104.7037532622232,82.8272295607581,113.23462208502669,14.9,84.1,100.0,87.1854931768954,131.7191130440825,4.703753262223202,-5.0,True
20,2019-04-30 18:00:00+00:00,24,13.5,84.4,95.0,ESCS,14.748472057251012,83.32750410518116,111.09919965495129,73.99726875801697,124.43503991279265,15.2,84.2,100.0,106.31829049871625,181.3975280931491,11.099199654951292,-5.0,True
21,2019-05-01 00:00:00+00:00,6,13.9,84.1,95.0,ESCS,14.347521864324616,83.83029920330357,95.0,91.81269716982098,110.43505579307214,14.2,84.0,95.0,24.530040219643976,24.303218759898247,0.0,0.0,True
21,2019-05-01 00:00:00+00:00,12,13.9,84.1,95.0,ESCS,14.793366178207258,83.8591408072671,96.22462522616381,87.48912356079686,116.35839132805349,14.9,84.1,100.0,28.48167902701105,68.50605213796493,-3.775374773836191,-5.0,True
21,2019-05-01 00:00:00+00:00,18,13.9,84.1,95.0,ESCS,15.110091691567114,83.71172663240141,98.84515273409738,81.82829830468955,117.68004483672854,15.2,84.2,100.0,53.41067113698426,108.57040754434139,-1.1548472659026174,-5.0,True
